,NEIBORHOOD GROUP,CLASS,SALE PRICE
331,Manhattan,D,735000
332,Manhattan,D,655000
333,Manhattan,D,1080000
334,Manhattan,D,790000
335,Manhattan,D,639000
336,Manhattan,D,875000
337,Manhattan,D,452000
338,Manhattan,D,932500
339,Manhattan,D,980000
340,Manhattan,D,701574
341,Manhattan,D,1200000
342,Manhattan,D,875000
343,Manhattan,D,979000
344,Manhattan,D,1350000
345,Manhattan,D,635000
346,Manhattan,D,750000
347,Manhattan,D,995000
348,Manhattan,D,661862
349,Manhattan,D,835000
350,Manhattan,D,1017000
352,Manhattan,D,1495000
353,Manhattan,D,113692
354,Manhattan,D,101164
355,Manhattan,D,86231
356,Manhattan,D,72260
357,Manhattan,D,103640
358,Manhattan,D,88332
359,Manhattan,D,101726
360,Manhattan,D,116447
361,Manhattan,D,87346
362,Manhattan,D,86712
363,Manhattan,D,87346
364,Manhattan,D,144521
365,Manhattan,D,137150
366,Manhattan,D,118280
367,Manhattan,D,86712
368,Manhattan,D,114975
369,Manhattan,D,129347
370,Manhattan,D,100603
371,Manhattan,D,72260
372,Manhattan,D,101726
373,Manhattan,D,87346
374,Manhattan,D,86231
375,Manhattan,D,655000
376,Manhattan,D,785000
377,Manhattan,D,915000
378,Manhattan,D,849000
379,Manhattan,D,300000
380,Manhattan,D,495846
382,Manhattan,D,1225000
384,Manhattan,D,1115000
385,Manhattan,D,1260000
386,Manhattan,D,1195000
387,Manhattan,D,1075000
388,Manhattan,D,267701
389,Manhattan,D,284101
390,Manhattan,D,207564
391,Manhattan,D,289568
392,Manhattan,D,218498
393,Manhattan,D,207564
394,Manhattan,D,500000
395,Manhattan,D,670000
396,Manhattan,D,530000
397,Manhattan,D,460000
398,Manhattan,D,605000
399,Manhattan,D,677500
400,Manhattan,D,425000
401,Manhattan,D,590000
402,Manhattan,D,475000
403,Manhattan,D,469000
404,Manhattan,D,880000
406,Manhattan,D,2000000
407,Manhattan,D,1090000
408,Manhattan,D,945000
409,Manhattan,D,592500
410,Manhattan,D,653000
411,Manhattan,D,1250000
412,Manhattan,D,1075000
413,Manhattan,D,590000
414,Manhattan,D,1535000
415,Manhattan,D,975000
417,Manhattan,D,1950000
418,Manhattan,D,3850000
419,Manhattan,D,905000
420,Manhattan,D,900000
421,Manhattan,D,890000
422,Manhattan,D,520000
423,Manhattan,D,810000
424,Manhattan,D,1600000
425,Manhattan,D,2495000
426,Manhattan,D,3051000
427,Manhattan,D,1700000
428,Manhattan,D,1650000
429,Manhattan,D,867500
430,Manhattan,D,737500
431,Manhattan,D,540000
432,Manhattan,D,1111000
433,Manhattan,D,981000
434,Manhattan,D,1650000
435,Manhattan,D,1950000
437,Manhattan,D,1390000
438,Manhattan,D,630000
442,Manhattan,D,708000
443,Manhattan,D,865000
445,Manhattan,D,1275000
446,Manhattan,D,615000
447,Manhattan,D,939000
